Both lists,U2,All That You Can't Leave Behind,2000,139,53:12:52,Island,Brian Eno / Daniel Lanois,Steve Averill,Ireland / UK,,null
1001... Only,Badly Drawn Boy,The Hour Of Bewilderbeast,2000,--,63:30:52,Twisted Nerve,Various,Andy Votel,UK,,null
RS 500 compilations,Muddy Waters,"The Anthology, 1947-1972",,38,,,,,,,null
